Region,Mean_GK,Mean_GW
lh_Accessory-Basal-nucleus,258.594205,249.25393991666664
lh_Anterior-amygdaloid-area-AAA,52.20061044,50.09742916666667
lh_Basal-nucleus,432.63948524,415.14589575
lh_CA1-body,125.42772656000001,118.4504037777778
lh_CA1-head,514.16886076,493.31427947222227
lh_CA3-body,82.8741332,78.53602186111111
lh_CA3-head,112.60683884,115.299002
lh_CA4-body,116.86133908,106.15674405555555
lh_CA4-head,121.43137712,119.83158577777778
lh_Central-nucleus,37.84028852,34.18360533333333
lh_Cortical-nucleus,22.939140560000002,21.93666202777778
lh_Corticoamygdaloid-transitio,176.87394424000001,174.17859230555555
lh_GC-ML-DG-body,132.10747336,120.22936019444445
lh_GC-ML-DG-head,146.15737028,144.0580361111111
lh_HATA,58.90154712,59.38829375
lh_Hippocampal_tail,566.16676344,533.8530195833333
lh_Lateral-nucleus,615.63204104,600.2958193055556
lh_Medial-nucleus,14.49110108,13.724825388888888
lh_Paralaminar-nucleus,48.84284824,46.97666475
lh_Whole_amygdala,1660.0536641600002,1605.7934339444446
lh_Whole_hippocampal_body,1149.44738284,1067.1533398055556
lh_Whole_hippocampal_head,1673.2408472799998,1605.6735929722222
lh_Whole_hippocampus,3388.8549935200003,3206.6799524722223
lh_fimbria,80.90429132,75.07884680555556
lh_hippocampal-fissure,118.87000592,114.68766080555555
lh_molecular_layer_HP-body,221.25786968,207.8450261111111
lh_molecular_layer_HP-head,328.19903132,312.204562
lh_parasubiculum,62.11569792,60.86514005555556
lh_presubiculum-body,159.31601224,147.5597207222222
lh_presubiculum-head,138.26097668,127.27937408333332
lh_subiculum-body,230.6985374,213.29721666666669
lh_subiculum-head,191.3991474,173.43331977777777
rh_Accessory-Basal-nucleus,278.03242804,268.5698513888889
rh_Anterior-amygdaloid-area-AAA,58.089084480000004,56.86613205555555
rh_Basal-nucleus,463.11205316,444.1116564444444
rh_CA1-body,132.94719768000002,125.61214686111111
rh_CA1-head,545.27258496,523.10980775
rh_CA3-body,91.74960332,88.1557261388889
rh_CA3-head,126.60946508,126.57965447222222
rh_CA4-body,118.24241144,112.78755219444444
rh_CA4-head,130.40548124,127.46954497222221
rh_Central-nucleus,41.775286560000005,38.019014750000004
rh_Cortical-nucleus,24.85351468,23.77165136111111
rh_Corticoamygdaloid-transitio,189.3741242,187.63232416666668
rh_GC-ML-DG-body,131.98283104,124.82942858333334
rh_GC-ML-DG-head,157.57494468000002,153.89636425
rh_HATA,65.10198328,64.95623072222222
rh_Hippocampal_tail,559.97839448,529.1138179444445
rh_Lateral-nucleus,660.90429124,638.3908490833333
rh_Medial-nucleus,16.41174948,15.415282555555557
rh_Paralaminar-nucleus,51.28083732,48.79092652777778
rh_Whole_amygdala,1783.833369,1721.5676883888889
rh_Whole_hippocampal_body,1136.2115845600001,1088.0015801944444
rh_Whole_hippocampal_head,1754.11503464,1687.8642120833333
rh_Whole_hippocampus,3450.30501364,3304.97961025
rh_fimbria,78.92471872,81.13771344444444
rh_hippocampal-fissure,117.10051404,116.85041597222221
rh_molecular_layer_HP-body,223.81721008,212.77140394444444
rh_molecular_layer_HP-head,343.00056824,327.73050963888886
rh_parasubiculum,60.630283479999996,60.400619166666665
rh_presubiculum-body,138.86929116,136.67816147222223
rh_presubiculum-head,134.03122152,129.5744603611111
rh_subiculum-body,219.67832136,206.02944752777776
rh_subiculum-head,191.48850228,174.14702044444445
